,SF,Char,Byte,AirTime,PointSize,MultiVal
306,7,122,61,133,70,5
307,8,122,61,236,80,5
308,9,122,61,431,90,5
309,10,122,61,780,100,5
310,11,122,61,1724,110,5
311,12,122,61,3121,120,5
312,7,124,62,133,70,5
313,8,124,62,246,80,5
314,9,124,62,431,90,5
315,10,124,62,821,100,5
316,11,124,62,1724,110,5
317,12,124,62,3121,120,5
318,7,126,63,138,70,5
319,8,126,63,246,80,5
320,9,126,63,451,90,5
321,10,126,63,821,100,5
322,11,126,63,1724,110,5
323,12,126,63,3285,120,5
324,7,128,64,138,70,5
325,8,128,64,246,80,5
326,9,128,64,451,90,5
327,10,128,64,821,100,5
328,11,128,64,1806,110,5
329,12,128,64,3285,120,5
330,7,130,65,138,70,5
331,8,130,65,246,80,5
332,9,130,65,451,90,5
333,10,130,65,821,100,5
334,11,130,65,1806,110,5
335,12,130,65,3285,120,5
336,7,132,66,143,70,5
337,8,132,66,256,80,5
338,9,132,66,451,90,5
339,10,132,66,821,100,5
340,11,132,66,1806,110,5
341,12,132,66,3285,120,5
342,7,134,67,143,70,5
343,8,134,67,256,80,5
344,9,134,67,451,90,5
345,10,134,67,862,100,5
346,11,134,67,1806,110,5
347,12,134,67,3285,120,5
348,7,136,68,143,70,5
349,8,136,68,256,80,5
350,9,136,68,472,90,5
351,10,136,68,862,100,5
352,11,136,68,1806,110,5
353,12,136,68,3448,120,5
354,7,138,69,143,70,5
355,8,138,69,256,80,5
356,9,138,69,472,90,5
357,10,138,69,862,100,5
358,11,138,69,1888,110,5
359,12,138,69,3448,120,5
360,7,140,70,148,70,5
361,8,140,70,266,80,5
362,9,140,70,472,90,5
363,10,140,70,862,100,5
364,11,140,70,1888,110,5
365,12,140,70,3448,120,5
366,7,142,71,148,70,5
367,8,142,71,266,80,5
368,9,142,71,472,90,5
369,10,142,71,862,100,5
370,11,142,71,1888,110,5
371,12,142,71,3448,120,5
372,7,144,72,148,70,5
373,8,144,72,266,80,5
374,9,144,72,492,90,5
375,10,144,72,903,100,5
376,11,144,72,1888,110,5
377,12,144,72,3448,120,5
378,7,146,73,153,70,5
379,8,146,73,266,80,5
380,9,146,73,492,90,5
381,10,146,73,903,100,5
382,11,146,73,1970,110,5
383,12,146,73,3612,120,5
384,7,148,74,153,70,5
385,8,148,74,277,80,5
386,9,148,74,492,90,5
387,10,148,74,903,100,5
388,11,148,74,1970,110,5
389,12,148,74,3612,120,5
390,7,150,75,153,70,5
391,8,150,75,277,80,5
392,9,150,75,492,90,5
393,10,150,75,903,100,5
394,11,150,75,1970,110,5
395,12,150,75,3612,120,5
396,7,152,76,153,70,5
397,8,152,76,277,80,5
398,9,152,76,492,90,5
399,10,152,76,903,100,5
400,11,152,76,1970,110,5
401,12,152,76,3612,120,5
402,7,154,77,159,70,5
403,8,154,77,277,80,5
404,9,154,77,513,90,5
405,10,154,77,944,100,5
406,11,154,77,1970,110,5
407,12,154,77,3612,120,5
408,7,156,78,159,70,5
409,8,156,78,287,80,5
410,9,156,78,513,90,5
411,10,156,78,944,100,5
412,11,156,78,2052,110,5
413,12,156,78,3776,120,5
414,7,158,79,159,70,5
415,8,158,79,287,80,5
416,9,158,79,513,90,5
417,10,158,79,944,100,5
418,11,158,79,2052,110,5
419,12,158,79,3776,120,5
420,7,160,80,164,70,5
421,8,160,80,287,80,5
422,9,160,80,513,90,5
423,10,160,80,944,100,5
424,11,160,80,2052,110,5
425,12,160,80,3776,120,5
426,7,162,81,164,70,5
427,8,162,81,287,80,5
428,9,162,81,533,90,5
429,10,162,81,944,100,5
430,11,162,81,2052,110,5
431,12,162,81,3776,120,5
432,7,164,82,164,70,5
433,8,164,82,297,80,5
434,9,164,82,533,90,5
435,10,164,82,985,100,5
436,11,164,82,2134,110,5
437,12,164,82,3776,120,5
438,7,166,83,164,70,5
439,8,166,83,297,80,5
440,9,166,83,533,90,5
441,10,166,83,985,100,5
442,11,166,83,2134,110,5
443,12,166,83,3940,120,5
444,7,168,84,169,70,5
445,8,168,84,297,80,5
446,9,168,84,533,90,5
447,10,168,84,985,100,5
448,11,168,84,2134,110,5
449,12,168,84,3940,120,5
450,7,170,85,169,70,5
451,8,170,85,297,80,5
452,9,170,85,533,90,5
453,10,170,85,985,100,5
454,11,170,85,2134,110,5
455,12,170,85,3940,120,5
456,7,172,86,169,70,5
457,8,172,86,307,80,5
458,9,172,86,554,90,5
459,10,172,86,985,100,5
460,11,172,86,2134,110,5
461,12,172,86,3940,120,5
462,7,174,87,174,70,5
463,8,174,87,307,80,5
464,9,174,87,554,90,5
465,10,174,87,1026,100,5
466,11,174,87,2215,110,5
467,12,174,87,3940,120,5
468,7,176,88,174,70,5
469,8,176,88,307,80,5
470,9,176,88,554,90,5
471,10,176,88,1026,100,5
472,11,176,88,2216,110,5
473,12,176,88,4104,120,5
474,7,178,89,174,70,5
475,8,178,89,307,80,5
476,9,178,89,554,90,5
477,10,178,89,1026,100,5
478,11,178,89,2215,110,5
479,12,178,89,4104,120,5
480,7,180,90,174,70,5
481,8,180,90,318,80,5
482,9,180,90,574,90,5
483,10,180,90,1026,100,5
484,11,180,90,2216,110,5
485,12,180,90,4104,120,5
486,7,182,91,179,70,5
487,8,182,91,318,80,5
488,9,182,91,574,90,5
489,10,182,91,1026,100,5
490,11,182,91,2297,110,5
491,12,182,91,4104,120,5
492,7,184,92,179,70,5
493,8,184,92,318,80,5
494,9,184,92,574,90,5
495,10,184,92,1067,100,5
496,11,184,92,2297,110,5
497,12,184,92,4104,120,5
498,7,186,93,179,70,5
499,8,186,93,318,80,5
500,9,186,93,574,90,5
501,10,186,93,1067,100,5
502,11,186,93,2297,110,5
503,12,186,93,4268,120,5
504,7,188,94,184,70,5
505,8,188,94,328,80,5
506,9,188,94,574,90,5
507,10,188,94,1067,100,5
508,11,188,94,2297,110,5
509,12,188,94,4268,120,5
510,7,190,95,184,70,5
511,8,190,95,328,80,5
512,9,190,95,594,90,5
513,10,190,95,1067,100,5
514,11,190,95,2297,110,5
515,12,190,95,4268,120,5
516,7,192,96,184,70,5
517,8,192,96,328,80,5
518,9,192,96,594,90,5
519,10,192,96,1067,100,5
520,11,192,96,2379,110,5
521,12,192,96,4268,120,5
522,7,194,97,184,70,5
523,8,194,97,328,80,5
524,9,194,97,594,90,5
525,10,194,97,1108,100,5
526,11,194,97,2379,110,5
527,12,194,97,4268,120,5
528,7,196,98,189,70,5
529,8,196,98,338,80,5
530,9,196,98,594,90,5
531,10,196,98,1108,100,5
532,11,196,98,2379,110,5
533,12,196,98,4431,120,5
534,7,198,99,189,70,5
535,8,198,99,338,80,5
536,9,198,99,615,90,5
537,10,198,99,1108,100,5
538,11,198,99,2379,110,5
539,12,198,99,4431,120,5
540,7,200,100,189,70,5
541,8,200,100,338,80,5
542,9,200,100,615,90,5
543,10,200,100,1108,100,5
544,11,200,100,2461,110,5
545,12,200,100,4431,120,5
546,7,202,101,194,70,5
547,8,202,101,338,80,5
548,9,202,101,615,90,5
549,10,202,101,1108,100,5
550,11,202,101,2461,110,5
551,12,202,101,4431,120,5
552,7,204,102,194,70,5
553,8,204,102,348,80,5
554,9,204,102,615,90,5
555,10,204,102,1148,100,5
556,11,204,102,2461,110,5
557,12,204,102,4431,120,5
558,7,206,103,194,70,5
559,8,206,103,348,80,5
560,9,206,103,615,90,5
561,10,206,103,1148,100,5
562,11,206,103,2461,110,5
563,12,206,103,4595,120,5
564,7,208,104,194,70,5
565,8,208,104,348,80,5
566,9,208,104,635,90,5
567,10,208,104,1148,100,5
568,11,208,104,2461,110,5
569,12,208,104,4595,120,5
570,7,210,105,199,70,5
571,8,210,105,348,80,5
572,9,210,105,635,90,5
573,10,210,105,1148,100,5
574,11,210,105,2543,110,5
575,12,210,105,4595,120,5
576,7,212,106,199,70,5
577,8,212,106,358,80,5
578,9,212,106,635,90,5
579,10,212,106,1148,100,5
580,11,212,106,2543,110,5
581,12,212,106,4595,120,5
582,7,214,107,199,70,5
583,8,214,107,358,80,5
584,9,214,107,635,90,5
585,10,214,107,1189,100,5
586,11,214,107,2543,110,5
587,12,214,107,4595,120,5
588,7,216,108,205,70,5
589,8,216,108,358,80,5
590,9,216,108,656,90,5
591,10,216,108,1189,100,5
592,11,216,108,2543,110,5
593,12,216,108,4759,120,5
594,7,218,109,205,70,5
595,8,218,109,358,80,5
596,9,218,109,656,90,5
597,10,218,109,1189,100,5
598,11,218,109,2625,110,5
599,12,218,109,4759,120,5
600,7,220,110,205,70,5
601,8,220,110,369,80,5
602,9,220,110,656,90,5
603,10,220,110,1189,100,5
604,11,220,110,2625,110,5
605,12,220,110,4759,120,5
606,7,222,111,205,70,5
607,8,222,111,369,80,5
608,9,222,111,656,90,5
609,10,222,111,1189,100,5
610,11,222,111,2625,110,5
611,12,222,111,4759,120,5
612,7,224,112,210,70,5
613,8,224,112,369,80,5
614,9,224,112,656,90,5
615,10,224,112,1230,100,5
616,11,224,112,2625,110,5
617,12,224,112,4759,120,5
618,7,226,113,210,70,5
619,8,226,113,369,80,5
620,9,226,113,676,90,5
621,10,226,113,1230,100,5
622,11,226,113,2625,110,5
623,12,226,113,4923,120,5
624,7,228,114,210,70,5
625,8,228,114,379,80,5
626,9,228,114,676,90,5
627,10,228,114,1230,100,5
628,11,228,114,2707,110,5
629,12,228,114,4923,120,5
630,7,230,115,215,70,5
631,8,230,115,379,80,5
632,9,230,115,676,90,5
633,10,230,115,1230,100,5
634,11,230,115,2707,110,5
635,12,230,115,4923,120,5
636,7,232,116,215,70,5
637,8,232,116,379,80,5
638,9,232,116,676,90,5
639,10,232,116,1230,100,5
640,11,232,116,2707,110,5
641,12,232,116,4923,120,5
642,7,234,117,215,70,5
643,8,234,117,379,80,5
644,9,234,117,697,90,5
645,10,234,117,1271,100,5
646,11,234,117,2707,110,5
647,12,234,117,4923,120,5
648,7,236,118,215,70,5
649,8,236,118,389,80,5
650,9,236,118,697,90,5
651,10,236,118,1271,100,5
652,11,236,118,2789,110,5
653,12,236,118,5087,120,5
654,7,238,119,220,70,5
655,8,238,119,389,80,5
656,9,238,119,697,90,5
657,10,238,119,1271,100,5
658,11,238,119,2789,110,5
659,12,238,119,5087,120,5
660,7,240,120,220,70,5
661,8,240,120,389,80,5
662,9,240,120,697,90,5
663,10,240,120,1271,100,5
664,11,240,120,2789,110,5
665,12,240,120,5087,120,5
666,7,242,121,220,70,5
667,8,242,121,389,80,5
668,9,242,121,697,90,5
669,10,242,121,1271,100,5
670,11,242,121,2789,110,5
671,12,242,121,5087,120,5
672,7,244,122,225,70,5
673,8,244,122,399,80,5
674,9,244,122,717,90,5
675,10,244,122,1312,100,5
676,11,244,122,2789,110,5
677,12,244,122,5087,120,5
678,7,246,123,225,70,5
679,8,246,123,399,80,5
680,9,246,123,717,90,5
681,10,246,123,1312,100,5
682,11,246,123,2871,110,5
683,12,246,123,5251,120,5
684,7,248,124,225,70,5
685,8,248,124,399,80,5
686,9,248,124,717,90,5
687,10,248,124,1312,100,5
688,11,248,124,2871,110,5
689,12,248,124,5251,120,5
690,7,250,125,225,70,5
691,8,250,125,399,80,5
692,9,250,125,717,90,5
693,10,250,125,1312,100,5
694,11,250,125,2871,110,5
695,12,250,125,5251,120,5
696,7,252,126,230,70,5
697,8,252,126,410,80,5
698,9,252,126,738,90,5
699,10,252,126,1312,100,5
700,11,252,126,2871,110,5
701,12,252,126,5251,120,5
702,7,254,127,230,70,5
703,8,254,127,410,80,5
704,9,254,127,738,90,5
705,10,254,127,1353,100,5
706,11,254,127,2953,110,5
707,12,254,127,5251,120,5
708,7,256,128,230,70,5
709,8,256,128,410,80,5
710,9,256,128,738,90,5
711,10,256,128,1353,100,5
712,11,256,128,2953,110,5
713,12,256,128,5414,120,5
714,7,258,129,235,70,5
715,8,258,129,410,80,5
716,9,258,129,738,90,5
717,10,258,129,1353,100,5
718,11,258,129,2953,110,5
719,12,258,129,5414,120,5
720,7,260,130,235,70,5
721,8,260,130,420,80,5
722,9,260,130,738,90,5
723,10,260,130,1353,100,5
724,11,260,130,2953,110,5
725,12,260,130,5414,120,5
726,7,262,131,235,70,5
727,8,262,131,420,80,5
728,9,262,131,758,90,5
729,10,262,131,1353,100,5
730,11,262,131,2953,110,5
731,12,262,131,5414,120,5
732,7,264,132,235,70,5
733,8,264,132,420,80,5
734,9,264,132,758,90,5
735,10,264,132,1394,100,5
736,11,264,132,3035,110,5
737,12,264,132,5414,120,5
738,7,266,133,240,70,5
739,8,266,133,420,80,5
740,9,266,133,758,90,5
741,10,266,133,1394,100,5
742,11,266,133,3035,110,5
743,12,266,133,5578,120,5
744,7,268,134,240,70,5
745,8,268,134,430,80,5
746,9,268,134,758,90,5
747,10,268,134,1394,100,5
748,11,268,134,3035,110,5
749,12,268,134,5578,120,5
750,7,270,135,240,70,5
751,8,270,135,430,80,5
752,9,270,135,779,90,5
753,10,270,135,1394,100,5
754,11,270,135,3035,110,5
755,12,270,135,5578,120,5
756,7,272,136,246,70,5
757,8,272,136,430,80,5
